name,weight,type,domain
Fire Protection Engineer,1,Role,Engineering
Firmware Engineer,1,Role,Engineering
Frontend Engineer,1,Role,Engineering
Geological Engineer,1,Role,Engineering
Hardware Engineer,1,Role,Engineering
Health and Safety Engineer,1,Role,Engineering
High-Pressure Engineer,1,Role,Engineering
Industrial Engineer,1,Role,Engineering
Instrumentation Engineer,1,Role,Engineering
I&C Engineer,1,Role,Engineering
Junior Engineer,1,Role,Engineering
Lead Engineer,1,Role,Engineering
Licensing Engineer,1,Role,Engineering
Logistics Engineer,1,Role,Engineering
Maintenance Engineer,1,Role,Engineering
Manager of Engineering,1,Role,Engineering
Manufacturing Engineer,1,Role,Engineering
Marine Engineer,1,Role,Engineering
Materials Engineer,1,Role,Engineering
Mechanical Design Engineer,1,Role,Engineering
Mechanical Engineer,1,Role,Engineering
Metallurgical Engineer,1,Role,Engineering
Mining Engineer,1,Role,Engineering
Mining Safety Engineer,1,Role,Engineering
Naval Architect,1,Role,Engineering
Nuclear Engineer,1,Role,Engineering
Network Engineer,1,Role,Engineering
Operations Engineer,1,Role,Engineering
Packaging Engineer,1,Role,Engineering
Performance Engineer,1,Role,Engineering
Petroleum Engineer,1,Role,Engineering
Pipeline Engineer,1,Role,Engineering
Piping Engineer,1,Role,Engineering
Piping Stress Engineer,1,Role,Engineering
Planning Engineer,1,Role,Engineering
Plant Engineer,1,Role,Engineering
Plastics Engineer,1,Role,Engineering
Power Engineer,1,Role,Engineering
Process Control Engineer,1,Role,Engineering
Process Design Engineer,1,Role,Engineering
Process Engineer,1,Role,Engineering
Product Design/Development Engineer,1,Role,Engineering
Product Engineer,1,Role,Engineering
Production Engineer,1,Role,Engineering
Project Controls Engineer,1,Role,Engineering
Project Engineer,1,Role,Engineering
Project Assistant,1,Role,Engineering
Proposal Engineering Coordinator,1,Role,Engineering
Protection Engineer,1,Role,Engineering
Quality Assurance Engineer,1,Role,Engineering
Quality Control Engineer,1,Role,Engineering
Quality Engineer,1,Role,Engineering
Relay Engineer,1,Role,Engineering
Reliability Engineer,1,Role,Engineering
Research Engineer,1,Role,Engineering
Research and Development Engineer,1,Role,Engineering
Reservoir Engineer,1,Role,Engineering
RF Engineer,1,Role,Engineering
Rotating Equipment Engineer,1,Role,Engineering
R&D Engineer,1,Role,Engineering
Safety Engineer,1,Role,Engineering
Sales Engineer,1,Role,Engineering
SCADA Engineer,1,Role,Engineering
Security Engineer,1,Role,Engineering
Senior Electrical Engineer,1,Role,Engineering
Senior Manufacturing Engineer,1,Role,Engineering
Senior Mechanical Engineer,1,Role,Engineering
Senior Process Engineer,1,Role,Engineering
Software Engineer,1,Role,Engineering
Staff Engineer,1,Role,Engineering
Staking Engineer,1,Role,Engineering
Stationary Engineer,1,Role,Engineering
Structural Engineer,1,Role,Engineering
Substation Engineer,1,Role,Engineering
Systems Engineer,1,Role,Engineering
Technical Support Engineer,1,Role,Engineering
Telecommunications Engineer,1,Role,Engineering
Test Engineer,1,Role,Engineering
Transmission Engineer,1,Role,Engineering
Transmission Planning Engineer,1,Role,Engineering
Turbine Engineer,1,Role,Engineering
User Interface (UI) Engineer,1,Role,Engineering
Validation Engineer,1,Role,Engineering
Vice President of Engineering,1,Role,Engineering
Welding Engineer,1,Role,Engineering
Applications Engineer,1,Role,Software
Chief Technology Officer,1,Role,Software
Chief Information Officer,1,Role,Software
Computer and Information Systems Manager,1,Role,Software
Database Administrator,1,Role,Software
Help Desk Technician,1,Role,Software
Information Technology Director,1,Role,Software
Information Technology Manager,1,Role,Software
Management Information Systems Director,1,Role,Software
Network Architect,1,Role,Software
Network Engineer,1,Role,Software
Network System Administrator,1,Role,Software
Programmer,1,Role,Software
Programmer Analyst,1,Role,Software
Security Specialist,1,Role,Software
Senior Applications Engineer,1,Role,Software
Senior Database Administrator,1,Role,Software
Senior Network Architect,1,Role,Software
Senior Network Engineer,1,Role,Software
Senior Network System Administrator,1,Role,Software
Senior Programmer,1,Role,Software
Senior Programmer Analyst,1,Role,Software
Senior Security Specialist,1,Role,Software
Senior Software Engineer,1,Role,Software
Senior Support Specialist,1,Role,Software
Senior System Administrator,1,Role,Software
